Word,OccurTotal,OccurNum,Freq_pm,Rating.Mean,Rating.SD,Dunno
bird,21,21,45.45,3.52,1.66,1.00
people,21,21,1102.98,3.52,1.60,1.00
blue,19,19,102.39,3.53,1.68,1.00
moo,19,19,2.08,3.53,1.87,1.00
shirt,19,19,46.37,3.53,1.12,1.00
thanks,19,19,623.31,3.53,1.35,1.00
woof,19,19,2.76,3.53,1.87,1.00
kitty,21,21,26.71,3.54,1.59,1.00
toilet,1934,1933,28.90,3.54,1.65,1.00
good,20,20,2610.14,3.55,1.61,1.00
mad,20,20,113.41,3.55,1.50,1.00
black,18,18,167.94,3.56,1.92,1.00
bottle,18,18,50.75,3.56,1.79,1.00
movie,18,18,122.96,3.56,1.54,1.00
need,18,18,1294.90,3.56,1.34,1.00
speak,18,18,187.18,3.56,1.38,1.00
she,22,22,3732.88,3.57,1.39,1.00
cup,21,21,51.65,3.57,1.99,1.00
friend,21,21,419.29,3.57,1.43,1.00
tree,1923,1923,65.00,3.57,1.61,1.00
outside,21,21,170.02,3.58,2.01,1.00
ten,21,21,145.00,3.58,1.49,1.00
bear,19,19,57.41,3.58,1.68,1.00
bite,19,19,40.78,3.58,1.30,1.00
bread,19,19,28.33,3.58,1.61,1.00
coat,19,19,42.08,3.58,1.22,1.00
granddad,19,19,2.24,3.58,1.61,1.00
key,19,19,86.86,3.58,1.54,1.00
mouth,19,19,104.41,3.58,1.43,1.00
reindeer,19,19,3.37,3.58,1.26,1.00
suppertime,19,19,0.61,3.58,1.02,1.00
do,20,20,6135.59,3.60,1.60,1.00
purple,20,20,12.33,3.60,1.47,1.00
rain,20,20,48.90,3.60,1.27,1.00
blanket,18,18,12.98,3.61,1.09,1.00
kiss,18,18,121.16,3.61,2.25,1.00
lunch,18,18,104.12,3.61,1.69,1.00
night,18,18,866.04,3.61,1.88,1.00
tooth,18,18,13.57,3.61,1.09,1.00
brother,19,19,283.94,3.63,1.54,1.00
cloud,19,19,11.75,3.63,1.57,1.00
ear,19,19,32.00,3.63,1.92,1.00
fork,19,19,8.82,3.63,1.86,1.00
fruit,19,19,21.73,3.63,1.71,1.00
