participant_id,block,trial,image_name,posX,posY,image_stem,base_name,set,category
p004,1,1,wolf_2.jpg,424,208,wolf_2,wolf,2,animals
p004,1,2,acorn_2.jpg,112,520,acorn_2,acorn,2,plants
p004,1,2,apple_2.jpg,632,104,apple_2,apple,2,plants
p004,1,2,blueberry_2.jpg,736,104,blueberry_2,blueberry,2,plants
p004,1,2,broccoli_2.jpg,424,104,broccoli_2,broccoli,2,plants
p004,1,2,cabbage_2.jpg,840,104,cabbage_2,cabbage,2,plants
p004,1,2,cactus_2.jpg,112,624,cactus_2,cactus,2,plants
p004,1,2,cherry_2.jpg,528,104,cherry_2,cherry,2,plants
p004,1,2,flower_2.jpg,424,208,flower_2,flower,2,plants
p004,1,2,grass_2.jpg,424,520,grass_2,grass,2,plants
p004,1,2,leaf_2.jpg,424,416,leaf_2,leaf,2,plants
p004,1,2,peanut_2.jpg,112,416,peanut_2,peanut,2,plants
p004,1,2,tree_2.jpg,424,312,tree_2,tree,2,plants
p004,1,3,angry_3.jpg,1048,208,angry_3,angry,3,emotions
p004,1,3,angry_4.jpg,944,208,angry_4,angry,4,emotions
p004,1,3,disgust_3.jpg,216,208,disgust_3,disgust,3,emotions
p004,1,3,disgust_4.jpg,840,208,disgust_4,disgust,4,emotions
p004,1,3,fearful_3.jpg,424,104,fearful_3,fearful,3,emotions
p004,1,3,fearful_4.jpg,944,104,fearful_4,fearful,4,emotions
p004,1,3,happy_3.jpg,632,104,happy_3,happy,3,emotions
p004,1,3,happy_4.jpg,736,104,happy_4,happy,4,emotions
p004,1,3,sad_3.jpg,424,208,sad_3,sad,3,emotions
p004,1,3,sad_4.jpg,320,208,sad_4,sad,4,emotions
p004,1,3,surprise_3.jpg,528,104,surprise_3,surprise,3,emotions
p004,1,3,surprise_4.jpg,840,104,surprise_4,surprise,4,emotions
p004,2,4,butterfly_1.jpg,112,520,butterfly_1,butterfly,1,animals
p004,2,4,dolphin_1.jpg,1048,624,dolphin_1,dolphin,1,animals
p004,2,4,fish_1.jpg,1048,520,fish_1,fish,1,animals
p004,2,4,fox_1.jpg,1048,416,fox_1,fox,1,animals
p004,2,4,horse_1.jpg,632,624,horse_1,horse,1,animals
p004,2,4,ladybug_1.jpg,112,416,ladybug_1,ladybug,1,animals
p004,2,4,lion_1.jpg,1048,312,lion_1,lion,1,animals
p004,2,4,peacock_1.jpg,528,624,peacock_1,peacock,1,animals
p004,2,4,pigeon_1.jpg,112,624,pigeon_1,pigeon,1,animals
p004,2,4,sheep_1.jpg,112,312,sheep_1,sheep,1,animals
p004,2,4,squirrel_1.jpg,1048,208,squirrel_1,squirrel,1,animals
p004,2,4,wolf_1.jpg,112,208,wolf_1,wolf,1,animals
p004,2,5,acorn_1.jpg,840,208,acorn_1,acorn,1,plants
p004,2,5,apple_1.jpg,424,312,apple_1,apple,1,plants
p004,2,5,blueberry_1.jpg,424,520,blueberry_1,blueberry,1,plants
p004,2,5,broccoli_1.jpg,424,208,broccoli_1,broccoli,1,plants
p004,2,5,cabbage_1.jpg,424,416,cabbage_1,cabbage,1,plants
p004,2,5,cactus_1.jpg,1048,312,cactus_1,cactus,1,plants
p004,2,5,cherry_1.jpg,528,312,cherry_1,cherry,1,plants
p004,2,5,flower_1.jpg,112,520,flower_1,flower,1,plants
p004,2,5,grass_1.jpg,1048,520,grass_1,grass,1,plants
p004,2,5,leaf_1.jpg,1048,416,leaf_1,leaf,1,plants
p004,2,5,peanut_1.jpg,632,208,peanut_1,peanut,1,plants
p004,2,5,tree_1.jpg,112,624,tree_1,tree,1,plants
p004,2,6,angry_1.jpg,840,624,angry_1,angry,1,emotions
p004,2,6,angry_2.jpg,1048,624,angry_2,angry,2,emotions
p004,2,6,disgust_1.jpg,528,624,disgust_1,disgust,1,emotions
p004,2,6,disgust_2.jpg,736,624,disgust_2,disgust,2,emotions
p004,2,6,fearful_1.jpg,944,624,fearful_1,fearful,1,emotions
p004,2,6,fearful_2.jpg,320,624,fearful_2,fearful,2,emotions
p004,2,6,happy_1.jpg,840,104,happy_1,happy,1,emotions
p004,2,6,happy_2.jpg,632,104,happy_2,happy,2,emotions
p004,2,6,sad_1.jpg,424,624,sad_1,sad,1,emotions
p004,2,6,sad_2.jpg,632,624,sad_2,sad,2,emotions
p004,2,6,surprise_1.jpg,528,104,surprise_1,surprise,1,emotions
p004,2,6,surprise_2.jpg,736,104,surprise_2,surprise,2,emotions
p005,1,1,acorn_2.jpg,1048,624,acorn_2,acorn,2,plants
p005,1,1,apple_2.jpg,528,624,apple_2,apple,2,plants
p005,1,1,blueberry_2.jpg,424,624,blueberry_2,blueberry,2,plants
p005,1,1,broccoli_2.jpg,112,416,broccoli_2,broccoli,2,plants
p005,1,1,cabbage_2.jpg,528,520,cabbage_2,cabbage,2,plants
