participant_id,block,trial,image_name,posX,posY,category,set,base_name
p003,1,1,leaf_2.jpg,5,1,plants,2,leaf.jpg
p003,1,1,peanut_2.jpg,4,5,plants,2,peanut.jpg
p003,1,1,tree_2.jpg,6,1,plants,2,tree.jpg
p003,1,2,butterfly_1.jpg,4,3,animals,1,butterfly.jpg
p003,1,2,dolphin_1.jpg,10,1,animals,1,dolphin.jpg
p003,1,2,fish_1.jpg,5,1,animals,1,fish.jpg
p003,1,2,fox_1.jpg,8,3,animals,1,fox.jpg
p003,1,2,horse_1.jpg,10,4,animals,1,horse.jpg
p003,1,2,ladybug_1.jpg,5,5,animals,1,ladybug.jpg
p003,1,2,lion_1.jpg,2,2,animals,1,lion.jpg
p003,1,2,peacock_1.jpg,9,6,animals,1,peacock.jpg
p003,1,2,pigeon_1.jpg,8,6,animals,1,pigeon.jpg
p003,1,2,sheep_1.jpg,7,1,animals,1,sheep.jpg
p003,1,2,squirrel_1.jpg,1,6,animals,1,squirrel.jpg
p003,1,2,wolf_1.jpg,7,3,animals,1,wolf.jpg
p003,1,3,angry_1.jpg,7,6,emotions,1,angry.jpg
p003,1,3,angry_2.jpg,7,3,emotions,2,angry.jpg
p003,1,3,disgust_1.jpg,7,2,emotions,1,disgust.jpg
p003,1,3,disgust_2.jpg,7,5,emotions,2,disgust.jpg
p003,1,3,fearful_1.jpg,4,3,emotions,1,fearful.jpg
p003,1,3,fearful_2.jpg,5,3,emotions,2,fearful.jpg
p003,1,3,happy_1.jpg,5,5,emotions,1,happy.jpg
p003,1,3,happy_2.jpg,4,5,emotions,2,happy.jpg
p003,1,3,sad_1.jpg,7,4,emotions,1,sad.jpg
p003,1,3,sad_2.jpg,5,1,emotions,2,sad.jpg
p003,1,3,surprise_1.jpg,3,3,emotions,1,surprise.jpg
p003,1,3,surprise_2.jpg,2,3,emotions,2,surprise.jpg
p003,2,4,acorn_1.jpg,10,1,plants,1,acorn.jpg
p003,2,4,apple_1.jpg,6,1,plants,1,apple.jpg
p003,2,4,blueberry_1.jpg,6,6,plants,1,blueberry.jpg
p003,2,4,broccoli_1.jpg,10,6,plants,1,broccoli.jpg
p003,2,4,cabbage_1.jpg,4,3,plants,1,cabbage.jpg
p003,2,4,cactus_1.jpg,1,3,plants,1,cactus.jpg
p003,2,4,cherry_1.jpg,7,1,plants,1,cherry.jpg
p003,2,4,flower_1.jpg,10,3,plants,1,flower.jpg
p003,2,4,grass_1.jpg,7,2,plants,1,grass.jpg
p003,2,4,leaf_1.jpg,1,5,plants,1,leaf.jpg
p003,2,4,peanut_1.jpg,1,1,plants,1,peanut.jpg
p003,2,4,tree_1.jpg,4,1,plants,1,tree.jpg
p003,2,5,butterfly_2.jpg,1,6,animals,2,butterfly.jpg
p003,2,5,dolphin_2.jpg,3,5,animals,2,dolphin.jpg
p003,2,5,fish_2.jpg,10,6,animals,2,fish.jpg
p003,2,5,fox_2.jpg,3,1,animals,2,fox.jpg
p003,2,5,horse_2.jpg,10,3,animals,2,horse.jpg
p003,2,5,ladybug_2.jpg,6,6,animals,2,ladybug.jpg
p003,2,5,lion_2.jpg,7,1,animals,2,lion.jpg
p003,2,5,peacock_2.jpg,4,3,animals,2,peacock.jpg
p003,2,5,pigeon_2.jpg,5,3,animals,2,pigeon.jpg
p003,2,5,sheep_2.jpg,10,1,animals,2,sheep.jpg
p003,2,5,squirrel_2.jpg,1,4,animals,2,squirrel.jpg
p003,2,5,wolf_2.jpg,2,1,animals,2,wolf.jpg
p003,2,6,angry_1.jpg,6,1,emotions,1,angry.jpg
p003,2,6,angry_2.jpg,10,1,emotions,2,angry.jpg
p003,2,6,disgust_1.jpg,7,1,emotions,1,disgust.jpg
p003,2,6,disgust_2.jpg,9,1,emotions,2,disgust.jpg
p003,2,6,fearful_1.jpg,10,6,emotions,1,fearful.jpg
p003,2,6,fearful_2.jpg,6,3,emotions,2,fearful.jpg
p003,2,6,happy_1.jpg,4,5,emotions,1,happy.jpg
p003,2,6,happy_2.jpg,3,5,emotions,2,happy.jpg
p003,2,6,sad_1.jpg,8,1,emotions,1,sad.jpg
p003,2,6,sad_2.jpg,6,6,emotions,2,sad.jpg
p003,2,6,surprise_1.jpg,9,6,emotions,1,surprise.jpg
p003,2,6,surprise_2.jpg,5,3,emotions,2,surprise.jpg
p004,1,1,butterfly_2.jpg,6,2,animals,2,butterfly.jpg
p004,1,1,dolphin_2.jpg,9,4,animals,2,dolphin.jpg
p004,1,1,fish_2.jpg,9,5,animals,2,fish.jpg
p004,1,1,fox_2.jpg,9,1,animals,2,fox.jpg
p004,1,1,horse_2.jpg,4,3,animals,2,horse.jpg
p004,1,1,ladybug_2.jpg,2,5,animals,2,ladybug.jpg
p004,1,1,lion_2.jpg,9,2,animals,2,lion.jpg
p004,1,1,peacock_2.jpg,1,2,animals,2,peacock.jpg
p004,1,1,pigeon_2.jpg,6,3,animals,2,pigeon.jpg
p004,1,1,sheep_2.jpg,1,3,animals,2,sheep.jpg
