wn_lex_clean,n_words,words
cognition,139,"accept, aim, amaze, amazed, amazing, arithmetic, arts, attention, attitude, backbone, backwardness, bait, baits, belief, believe, choice, choose, cleverness, coldness, concern, confuse, confusing, daydream, decide, discipline, dislike, dodge, dream, dreamland, dumbness, example, explore, eyes, eyesight, fact, faith, fancy, favorite, feature, feel, find, forget, forgetfulness, germ, germs, ghost, goal, grammar, habit, halve, hang, headache, heart, idea, imagination, impossible, interest, it, itchiness, kaleidoscope, kind, know, largeness, learn, like, magic, make, mark, math, mathematics, matter, mean, medicine, memorize, memory, mind, model, multiple, multiply, mystery, normal, nosiness, obstacle, pattern, perfume, pick, plan, point, possible, puzzled, react, reflection, refreshing, religion, remember, rub, rule, sample, scent, schedule, science, score, self, sense, sight, skill, slant, smell, solve, sort, stink, stupidity, substitute, subtract, surgery, surprised, surprising, sweetness, talent, taste, test, think, thorn, thought, tickle, trouble, truth, type, understand, understanding, unfairness, value, view, vision, warmth, whole, will, wont, worry"
event,135,"accident, bang, beep, beginning, blowup, boom, bother, break, buzz, campfire, case, cause, celebration, ceremony, change, cheep, chirp, chorus, clank, clap, click, cluck, contest, coo, crackle, crash, creaking, crunch, damage, death, discuss, do, dribble, drip, earthquake, emergency, episode, eruption, explosion, faint, final, fire, flash, flick, flow, footstep, footsteps, funeral, gobble, growl, gurgle, heartbeat, hiss, honk, jingle, jolly, jump, knock, liftoff, meet, meow, miaow, miracle, moo, neigh, noise, oink, opener, pant, pat, peal, plop, purr, race, rattle, repeat, repetition, replay, reward, rippling, rise, roar, roll, scrape, scrunch, seek, slam, slap, sleepover, smack, smash, smudge, snore, spark, sparkling, spike, spin, splash, splat, spread, squeak, squeal, squish, start, stop, surf, swell, swoosh, tap, thump, thunder, tick, tide, time, tinkle, toot, toots, touch, tournament, twinkle, twist, victory, walkaway, wave, wedding, whack, whinny, whirl, whistle, whistling, win, wipeout, wobble, yelp, zap"
body,121,"ankle, anklebone, arm, armpit, ass, awake, awaken, back, beard, behave, behind, belly, bellybutton, bleed, blood, body, bone, braid, brain, breast, breathe, buttocks, cheek, cheekbone, chest, chin, come, cowlick, ear, eardrum, earlobe, elbow, eye, eyeball, eyebrow, eyelash, eyelid, face, finger, fingernail, fingertip, fist, foot, forefinger, forehead, freckle, freckles, gut, hair, haircut, hairdo, hairstyle, hand, head, heads, hip, hipbone, injure, jaw, jaws, knee, kneecap, knuckle, lap, leg, lid, limb, lip, lung, mitt, moustache, mouth, nail, neck, noggin, nose, nostril, palm, pathway, permanent, pigtail, pinkie, plaque, ponytail, quick, relax, relaxed, relieve, roach, ruff, scalp, shoulder, skin, skull, slim, slobber, small, spine, stale, stomach, sweat, tear, teethe, thigh, throat, thumb, tiptoe, tired, tiring, tissue, toe, toenail, tongue, tooth, tummy, undressed, urinate, waist, whiskers, wrist, yap"
plant,116,"acorn, almond, apricot, asparagus, banana, bark, beanstalk, beet, blade, blossom, blueberry, broccoli, bud, bulb, bush, buttercup, cactus, cantaloupe, carrot, catnip, cauliflower, celery, cereal, cheat, cherry, chess, chestnut, cinnamon, clover, cola, corn, cornstalk, cranberry, crop, cucumber, daffodil, daisy, dandelion, flower, fruit, fuzz, garlic, glad, grapefruit, grass, harvest, hazel, holly, houseplant, kiwi, leaf, licorice, lily, maple, mum, mushroom, mustard, needle, nut, nutshell, oak, oat, oats, olive, onion, peach, peanut, pecan, pepper, peppermint, petal, pine, pineapple, pinecone, pinwheel, plum, pod, poke, pollen, popcorn, puffball, pumpkin, raspberry, root, rose, rosebush, seed, seedling, sesame, shoot, simple, snowball, snowdrop, spearmint, spinach, squash, sticker, stump, sugarcane, sunflower, tree, treetop, tulip, tumbleweed, tuna, turnip, twig, vanilla, vine, violet, watermelon, weed, wheat, wildflower, willow, zucchini"
group,112,"airforce, army, audience, band, batch, battery, blind, board, bop, branch, brush, bunch, bundle, business, carload, cast, chain, charity, choir, chow, church, circus, class, club, collection, column, community, company, core, country, couple, cream, crew, crowd, dead, deaf, disabled, division, doe, drove, elect, enemy, family, far, feast, few, flight, flock, following, forest, free, friendly, galaxy, glob, grade, gymnasium, handicapped, haystack, heap, herd, highschool, hive, household, kindergarten, knot, let, line, litter, lump, mailing, meeting, membership, mixer, nation, navy, needy, outfit, package, pair, parade, party, people, pile, police, poor, preschool, rainforest, rear, rich, row, school, set, sick, stack, streak, strings, superpower, table, team, thicket, townspeople, traffic, troops, underground, van, variety, village, waterworks, who, wildlife, woodpile, woods"
quantity,107,"a, bagful, birdie, bit, bob, bowlful, bucketful, bushel, busload, capful, carful, cartload, carton, cent, count, crumb, cupful, dollar, dozen, duo, dustpan, eight, eighty, eleven, enough, eyedrop, fifteen, fifth, fifty, fill, fin, fistful, five, forty, four, gain, gal, gallon, gill, glassful, grand, gross, half, handful, hundred, imaginary, in, inch, increase, jack, little, lot, maximum, mile, million, mint, mole, mouthful, much, mug, nibble, nine, ninety, nip, nothing, one, pack, parking, peak, peck, penny, pocketful, pound, quart, quarter, real, scoop, seven, shovelful, six, sixteen, sixty, skeleton, spoonful, tablespoon, tablespoonful, teacup, teaspoon, teaspoonful, ten, tenth, third, thirty, thousand, three, ton, tot, trace, twelve, two, unit, volume, whisker, worth, yard, zero, zip"
time,104,"afternoon, anniversary, august, autumn, babyhood, bedtime, birth, birthday, calendar, century, childhood, christmas, close, cycle, date, dawn, day, daylight, daytime, december, deep, dinnertime, even, evening, evens, fall, float, flush, full, future, go, grave, halftime, history, holiday, holidays, hour, inning, instant, january, last, leave, lunchtime, march, may, mealtime, midday, midnight, minute, moment, month, morning, nap, night, nighttime, none, noon, november, now, old, over, past, pause, period, picnic, playtime, present, pus, saturday, schooldays, season, second, speed, spring, springtime, stage, summer, summertime, sunday, sundown, sunrise, sunset, suppertime, teens, thanksgiving, then, times, today, tomorrow, tonight, vacation, wait, wed, wee, week, weekday, weekend, weeknight, while, wink, winter, wintertime, year, yesterday"
object,93,"anthill, bank, beach, boulder, bubble, canal, cape, cave, cavity, chip, cinder, cliff, climb, coast, crack, creek, crust, downhill, draw, earth, eggshell, fishpond, flat, foam, forth, globe, grain, ground, hammock, hill, hillside, hole, honeycomb, island, lake, leak, lick, main, mars, meteor, moon, mountain, mountainside, mush, must, narrow, necessary, nest, nugget, ocean, opening, pebble, pit, plain, planet, pond, rainbow, remains, ribbon, river, riverbank, rock, scrap, sea, seacoast, seashore, seaside, shallow, sheet, shore, shoreline, sky, sliver, spit, splinter, star, stone, stream, stretch, strip, suds, sun, swamp, tangle, thundercloud, track, trail, valley, volcano, waterfall, web, woodland, world"
location,84,"arctic, area, backside, bam, beat, bedside, birthplace, border, bottom, campground, campsite, cemetery, center, cheddar, churchyard, city, common, corncob, corner, cornfield, den, dig, direction, downtown, edge, end, fairground, farmland, field, front, graveyard, haunt, heaven, hell, here, hideout, hilltop, hippo, holy, home, hometown, inside, japan, jungle, junkyard, lawn, left, mansion, me, meadow, middle, neighborhood, nice, north, oh, open, or, orbit, outdoors, outside, park, pasture, place, playground, prairie, reach, rooftop, rough, schoolyard, seat, see, side, somewhere, south, spot, state, tack, there, thick, tip, top, town, us, west"
possession,63,"adopt, allowance, amount, belong, bet, borrow, buy, capitalize, cash, check, cleanup, coin, cost, cut, diamond, dime, draft, earn, fine, found, gift, gold, hospitalize, jackpot, keep, kite, kitty, land, lettuce, locate, lose, loss, money, movable, orphaned, own, pay, payback, peanuts, pearl, peddle, pledge, principal, prize, provide, recover, retrieve, rid, rob, ruby, share, slice, sparkler, spoil, steal, sum, take, tender, treasure, trust, uniformed, valuables, winnings"
change,55,"absent, alphabetize, bake, bald, become, bloody, brighten, canned, childproof, complete, correct, crippled, darken, darkened, defrost, disappear, dizzy, erase, explode, flatten, freckled, grilled, grow, happen, hardened, heal, hushed, improve, lengthen, loosen, outgrow, overfill, overheated, powdered, prepare, refrigerate, reheat, remaining, replace, ripen, roasted, rusted, shorten, shush, slow, tame, thin, tighten, unfreeze, unfrozen, up, warm, weaken, whiten, widen"
contact,54,"attach, bare, bonk, carve, connect, deformed, delete, dirty, drown, fasten, frosted, glazed, greased, iced, kidnap, mashed, muddy, nab, replant, retie, scissor, sew, sharpen, shut, sit, strangle, striped, unbuckle, unbuckled, unbutton, unbuttoned, unchain, undo, unfasten, unfastened, unhook, unload, unlock, unpack, unplug, unplugged, unraveled, unroll, unscrew, untangle, untangled, untie, untwist, unwrap, unwrapped, unzip, wham, wrinkled, zippered"
phenomenon,54,"blizzard, bolt, breeze, candlelight, chop, cloud, consequence, dent, downpour, drizzle, electricity, energy, flake, flood, fog, hail, heat, hurricane, interrupt, lamplight, light, lightning, microwave, mist, moonlight, peelings, puff, rain, raindrop, rainfall, rainstorm, ray, response, smoke, snow, snowfall, snowflake, snowstorm, sprinkle, starlight, storm, streamer, sunbeam, sunlight, sunray, sunshine, thunderbolt, thunderstorm, tornado, twister, wake, waterspout, weather, wind"
feeling,41,"alarm, anger, boredom, closeness, coolness, disgust, embarrassment, emotion, excitement, fear, forgiveness, friendliness, fright, gratefulness, hate, hope, horror, jealousy, joy, joyfulness, leaning, love, mood, nervousness, playfulness, relief, relish, sadness, shame, shock, shyness, stab, sulk, surprise, surrender, temper, togetherness, unfriendliness, unhappiness, wish, wonder"
shape,35,"bend, blob, circle, crease, crescent, cube, curl, curve, dip, disk, dot, doughnut, drop, fold, hexagon, hollow, hump, jog, join, oval, pucker, pyramid, rectangle, sag, semicircle, square, stamp, swirl, teardrop, triangle, turn, twirl, wart, wrinkle, zigzag"
emotion,33,"admire, adore, animated, annoy, annoyed, bored, charming, crazed, disappoint, disappointed, embarrass, embarrassed, enchant, enchanted, enjoy, excite, excited, exciting, frightened, gentle, horrifying, interesting, lighten, long, pester, please, prefer, scared, shocking, sicken, sickening, troubled, worried"
motion,28,"arrive, bring, canoeing, crooked, crowded, crumble, crumple, curved, enter, flipping, follow, frozen, guiding, near, pour, restart, retrace, rotate, scoot, scrambled, send, sightsee, sleepwalk, straighten, topple, totter, uncross, wander"
social,28,"allow, amused, bumble, busy, celebrate, disobey, doing, educate, encouraging, enrolls, entertain, fail, frequent, frustrated, frustrating, further, gifted, loose, manage, marry, misbehave, obey, off, operate, organize, participate, punish, unite"
stative,21,"arise, attend, bearded, contain, continue, dangle, deserve, deserving, dotted, expire, fried, include, live, make-up, matching, prove, quit, shelve, spend, survive, weigh"
relation,20,"competition, east, eighth, first, fourth, highlight, index, leftover, motherhood, ninth, northeast, operator, part, perfect, rest, reverse, scales, seventh, sixth, twelfth"
perception,19,"appear, blinding, bury, dim, dingdong, discover, disgusted, disgusting, glittering, hear, listen, masked, salted, scented, seem, soften, sugared, sweeten, uncover"
process,19,"aging, blaze, bloom, blooming, defence, dump, flame, flaming, flop, freeze, freezing, growth, hatch, healing, heating, icing, melt, refrigeration, soak"
Tops,15,"animal, beast, creature, event, feeling, food, group, individual, knowledge, location, object, person, somebody, someone, space"
creation,11,"accomplish, create, decorate, decorated, destroy, develop, fruited, imagine, redo, sing, write"
pert,11,"allergic, alphabetical, automotive, biblical, binocular, electronic, fishy, heavenly, minty, soapy, splashy"
consumption,7,"afford, eat, fatten, inhale, overeat, reuse, slurp"
competition,3,"compete, overpower, protect"
motive,2,"reason, why"
weather,1,shaded
